Year	Hawks	Blues
1926	41	0
1927	17	0
1928	22	0
1929	47	0
1930	51	0
1931	47	0
1932	44	0
1933	51	0
1934	57	0
1935	50	0
1936	35	0
1937	37	0
1938	32	0
1939	52	0
1940	39	0
1941	47	0
1942	49	0
1943	49	0
1944	33	0
1945	53	0
1946	42	0
1947	46	0
1948	50	0
1949	54	0
1950	36	0
1951	43	0
1952	69	0
1953	31	0
1954	43	0
1955	50	0
1956	47	0
1957	55	0
1958	69	0
1959	69	0
1960	75	0
1961	75	0
1962	81	0
1963	84	0
1964	76	0
1965	82	0
1966	94	0
1967	80	70
1968	77	88
1969	99	86
1970	107	87
1971	107	67
1972	93	76
1973	105	64
1974	82	84
1975	82	72
1976	63	73
1977	83	53
1978	73	48
1979	87	80
1980	78	107
1981	72	72
1982	104	65
1983	68	71
1984	83	86
1985	86	83
1986	72	79
1987	69	76
1988  66	78	0
1989	88	83	0
1990	106	105	0
1991	87	83	0
1992	106	85	0
1993	87	91	0
1994	53	61	0
1995	94	80	0
1996	81	83	0
1997	73	98	0
1998	70	87	0
1999	78	114	0
2000	71	103	0
2001	96	98	0
2002	79	99	0
2003	59	91	0
2004	0	0	0
2005	65	57	0
2006	71	81	0
2007	88	79	0
2008	104	92	0
2009	112	90	0
2010	97	87	0
2011	101	109	0
2012	77	60	0
2013	107	111	0
2014	102	109	0
2015	103	107	0
2016	109	99
